"nid","title","field_documentos_","field_documentos_vagas"
719,"Inglês para Leitura de Textos II (Antigo Inglês Instrumental II)",4105,4105
726,"Práticas de leitura em francês I ( antigo Francês Instrumental I )",4105,4105
715,"Alemão para Leitura de Textos em Filosofia e  Ciências Sociais I",4105,4105
732,"Gramática Aplicada ao Ensino de Português Língua Estrangeira- GAPLE",4105,4105
735,"Inglês Básico II",4105,4105
742,"Inglês Básico III",4105,4105
748,"Inglês Básico IV",4105,4105
749,"Inglês Pré-Intermediário I",4105,4105
750,"Inglês Intermediário I",4105,4105
751,"Japonês Básico I",4105,4105
752,"Japonês Básico II",4105,4105
753,"Japonês Básico III",4105,4105
754,"Japonês Básico IV",4105,4105
755,"Curso de Férias - A Escrita Logográfica Japonesa (Kanji)",4105,4105
757,"Inglês para Apresentações Orais - (Antigo Inglês Instrumental Oral)",4105,4105
758,"Curso Preparatório para o TOEFL",4105,4105
759,"Redação Acadêmica para Graduação- RAG",4105,4105
760,"Inglês para Escrita Acadêmica",4105,4105
761,"Redação Acadêmica para Pós-Graduação- RAPG",4105,4105
772,"Conversação em Português Língua Estrangeira- CPLE",4105,4105
925,"Conversação em Português Língua Estrangeira- Curso de férias",4105,4105
928,"Conversação em Português Língua Estrangeira - Curso de férias - para estudantes da Virginia Commonwealth University.",4105,4105
930,"Inglês Intermediário II",4105,4105
932,"Produção escrita em Língua Japonesa",4105,4105
938,"Japonês Pré-intermediário",4105,4105
940,"Francês com Objetivo Universitário (FOU) para alunos do Programa Ciência sem Fronteiras",4105,4105
1068,"Plurilinguismo e intercompreensão de línguas românicas: formação de professores",4105,4105
1070,"Inglês Pré-Intermediário II",4105,4105
1077,"Inglês para negócios IRI/USP- Instituto de Relações Internacionais",4105,4105
1118,"Inglês para Funcionários",4105,4105
1150,"Inglês para Funcionários - Pró-Reitoria de Pós-Graduação",4105,4105
1161,"Inglês para Funcionários - Instituto de Química",4105,4105
1165,"Inglês para Funcionários - Instituto de Física",4105,4105
1177,"Inglês para Funcionários USP",4105,4105
1178,"Oficina de leitura de textos acadêmicos em francês: Ciências humanas",4105,4105
1192,"Curso Preparatório para Prova de Proficiência N3- Japonês",4105,4105
1195,"Upper-Intermediate II",4105,4105
1332,"Espanhol para Graduação em Humanidades: Nível IV",4105,4105
1255,"Funcionários da reitoria - PRPG- Básico A1 - Módulo 3",4105,4105
1277,"Práticas de Leitura em Francês ( textos acadêmicos) - Nível II",4105,4105
1278,"Práticas de leitura em francês I",4105,4105
1279,"Japonês Básico I",4105,4105
1280,"Japonês Básico II",4105,4105
1281,"Curso de Francês para iniciantes (CFI) - Relações Internacionais - Módulo I",4105,4105
1282,"Curso de Francês para iniciantes (CFI) - Relações Internacionais - Módulo III",4105,4105
1285,"Plurilinguismo e intercompreensão de línguas românicas: formação de professores",4105,4105
1288,"Japonês Básico III",4105,4105
1289,"Japonês Básico IV",4105,4105
1290,"Japonês Pré-intermediário",4105,4105
1292,"Curso de Férias - A Escrita Logográfica Japonesa (Kanji)",4105,4105
1293,"Leitura em Língua Espanhola",4105,4105
1302,"Leitura de textos em italiano - nível I",4105,4105
1304,"Leitura de Textos em Italiano - Nível II",4105,4105
1309,"Italiano - Competência Comunicativa I",4105,4105
1312,"Competência Comunicativa II",4105,4105
1338,"Novo Inglês para Leitura de Textos II (Antigo Inglês Instrumental II)",4105,4105
1339,"Inglês para Leitura de Textos I",4105,4105
1369,"Inglês para Graduandos e Pós-Graduandos USP",4105,4105
1370,"Inglês para Leitura de Textos II",4105,4105
1371,"Redação Acadêmica para Graduação",4105,4105
1372,"Curso Intensivo: Conversação em Português Língua Estrangeira",4105,4105
1373,"Inglês para Graduação USP - alunos antigos",4105,4105
1375,"Práticas de Língua Inglesa para Pós-Graduandos - USP",4105,4105
1376,"Curso de Inglês Geral para Funcionários USP – ALUNOS NOVOS",4105,4105
1378,"Redação Acadêmica para Pós-Graduação",4105,4105
1387,"Curso de Inglês Geral para Funcionários USP",4105,4105
1388,"Gramática Aplicada ao Ensino de Português Língua Estrangeira- GEPLE",4105,4105
1390,"Práticas de Leitura e Escrita em Português Língua Estrangeira",4105,4105
1394,"Inglês para Leitura de Textos na área de Humanas",4105,4105
1396,"Inglês para Escrita Acadêmica - IRI",4105,4105
1398,"Inglês para Apresentações Orais",4105,4105
1399,"Inglês para Escrita Acadêmica - Ciências Biológicas",4105,4105
1417,"Inglês para Leitura na Área de Ciências Sociais",4105,4105
1421,"Curso Preparatório para o IELTS",4105,4105
1424,"Inglês para Escrita Acadêmica na Área de Exatas",4105,4105
1453,"Curso de Ortografia do Português",4105,4105
1456,"Produção escrita em francês no Moodle: textos argumentativos",4105,4105
1560,"Inglês para Escrita Acadêmica na Área de Exatas",4105,4105
1467,"[INGLÊS] Curso Intensivo: Inglês para Leitura de Textos II",4105,4105
1470,"[JAPONÊS] Curso Intensivo: Japonês Básico I",4105,4105
1479,"Japonês Básico 4",4105,4105
1481,"Curso Preparatório para nível 3 do Exame de Proficiência em Língua Japonesa",4105,4105
1482,"Curso Preparatório para nível 3 do Exame de Proficiência em Língua Japonesa - Parte 1",4105,4105
1484,"Curso Intensivo - Inglês para Escrita Acadêmica na Área de Exatas",4105,4105
1489,"Curso de Língua Espanhola semi-presencial: práticas orais",4105,4105
1491,"Práticas de Leitura e Escrita em Português",4105,4105
1541,"Inglês para Escrita Acadêmica",4105,4105
1511,"Conversação em Língua Francesa I",4105,4105
1573,"Curso Preparatório para o TOEFL (IRI)",4105,4105
1536,"Inglês para Leitura de Textos I e II",4105,4105
1537,"Inglês para Leitura de Textos II",4105,4105
1539,"Inglês para Leitura de Textos na área de Humanas",4105,4105
1540,"Inglês para Leitura na Área de Ciências Sociais",4105,4105
1542,"Inglês para Escrita Acadêmica - Ciências Biológicas",4105,4105
1561,"Inglês para Escrita Acadêmica na Área de Exatas",4105,4105
1569,"Inglês para Graduação USP - nível I (A1)",4105,4105
1586,"Práticas de leitura em francês I - Direito",4105,4105
1606,"Práticas de leitura em Intercompreensão: textos acadêmicos na área das Letras",4105,4105
1611,"Curso de Francês para iniciantes (CFI) - Relações Internacionais - Módulo II",4105,4105
1612,"Conversação em Língua Francesa - Nível II",4105,4105
1694,"CFI POLI - Módulo 1",4105,4105
1692,"Exemplo CFI POLI",4105,4105
1699,"CFI POLI - Módulo 2",4105,4105
1706,"CFI POLI - Módulo 3",4105,4105
1711,"CFI POLI - Módulo 4",4105,4105
1715,"CFI POLI - Mobilité",4105,4105
1772,"Alemão para leitura de textos na área de humanas – Nível I",4105,4105
1778,"Alemão para leitura de textos na área de humanas – Nível II",4105,4105
1779,"Alemão acadêmico: Curso preparatório para intercâmbio na Alemanha",4105,4105
1780,"Introdução à Língua e Cultura Árabe I",4105,4105
1781,"Introdução à Língua e Cultura Árabe II",4105,4105
1784,"Japonês Básico I - Haru - Vagas esgotadas, favor esperar informações a respeito de vagas remanescentes",4105,4105
1785,"Japonês Básico III - Matrículas Encerradas",4105,4105
1786,"Japonês Pré-intermediário -2º semestre 2015",4105,4105
1787,"Japonês IV -  Tsubaki - Vagas esgotadas, favor esperar informações a respeito de vagas remanescentes",4105,4105
1788,"Curso Preparatório para o Nível N3 do Exame da Proficiência - Parte 1",4105,4105
2416,"Curso Preparatório para o Nível N3 do Exame da Proficiência - Parte 2",4105,4105
1789,"Introdução ao Latim I",4105,4105
1791,"Introdução ao Latim II",4105,4105
1792,"Introdução ao Latim III",4105,4105
1811,"Inglês Acadêmico para Pós-Graduandos - USP",4105,4105
1813,"Inglês para Graduandos USP",4105,4105
1840,"Curso de Francês para internacionalização - Relações internacionais - Módulo 1",4105,4105
1844,"Curso de Francês para internacionalização - Relações Internacionais - Módulo 2",4105,4105
1845,"Curso de Francês para internacionalização - Relações Internacionais - Módulo 3",4105,4105
1846,"Conversação em línguas francesa - Avançado",4105,4105
1850,"Curso preparatório para o DELF B2",4105,4105
1851,"Curso de francês para internacionalização - Direito",4105,4105
1852,"Práticas de leitura em francês I  - Artes (artes plásticas, audiovisuais, arquitetura, design)",4105,4105
1988,"Introdução à Língua e Cultura Árabe III",4105,4105
2051,"Práticas de Leitura em Língua Japonesa",4105,4105
2078,"Inglês para funcionários: Nível A2-B1 (pré-intermediário) - Módulo 2",4105,4105
2080,"Inglês para funcionários: Nível A1-A2 (básico) - Módulo 2",4105,4105
2082,"Inglês para funcionários: Nível A2-B1 (pré-intermediário) - Módulo 1",4105,4105
2109,"Práticas de Leitura em Língua Japonesa",4105,4105
2114,"Práticas de Leitura em Língua Japonesa",4105,4105
2159,"Curso Intensivo de Férias - Japonês Básico IV - Turma cancelada - aos interessados, favor matricular-se na turma extensiva",4105,4105
2165,"Preparatório para TOEFL iBT (internet-based test) - curso de férias",4105,4105
2176,"Curso Preparatório para o TOEFL",4105,4105
2178,"Formação didática para professores  de línguas estrangeiras - Competência orais em línguas estrangeiras - módulo 1",4105,4105
2180,"Curso de Francês para internacionalização - Relações internacionais - Módulo 1",4105,4105
2185,"Curso de Francês para Internacionalização – Poli – módulo 2",4105,4105
2186,"Curso de Francês para Internacionalização – Poli – módulo 3",4105,4105
2187,"Curso de Francês para Internacionalização – Relações Internacionais – módulo 3",4105,4105
2200,"Curso de Francês para Internacionalização – Poli – Mobilité",4105,4105
2203,"Curso Preparatório para o DELF (CURSO CANCELADO)",4105,4105
2216,"Inglês para Escrita Acadêmica - Ciências Biológicas",4105,4105
2217,"Inglês para Escrita Acadêmica",4105,4105
2219,"Capacitação de Graduandos e Graduados em Letras para Edição de Textos Acadêmicos em Português Língua Materna (CEPLM): curso de férias",4105,4105
2221,"Capacitação de graduandos e graduados de Letras para Ensino de PLE (semestral)",4105,4105
2222,"Formação didática para professores  de línguas estrangeiras - Tecnologia da Comunicação e Informação e ensino de línguas estrangeiras - módulo 2",4105,4105
2234,"Curso Preparatório para o TOEFL iBT (internet-based test)",4105,4105
2237,"Inglês para negócios (IRI) – módulo 1",4105,4105
2242,"Inglês em Contexto Acadêmico",4105,4105
2244,"Inglês Acadêmico para graduandos USP",4105,4105
2408,"Curso de Francês para Internacionalização – Poli – módulo 1",4105,4105
2411,"francês 1",4105,4105
2412,"Curso de Francês para Internacionalização – Poli – módulo 3",4105,4105
2413,"Curso de Francês para Internacionalização – Poli – Mobilité",4105,4105
2414,"Curso de Francês para Internacionalização – Relações Internacionais – módulo 4",4105,4105
2415,"Francês acadêmico para a Matemática",4105,4105
2420,"Japonês Básico II - Natsu",4105,4105
2425,"Inglês para apresentações, conferências e produção escrita na área de Medicina Tropical",4105,4105
2427,"Curso preparatório para o IELTS",4105,4105
2429,"Conversação em Português Língua Estrangeira",4105,4105
2430,"Curso Intensivo: Conversação em Português Língua Estrangeira",4105,4105
2432,"Inglês para apresentações orais",4105,4105
2433,"Capacitação de graduandos e graduados em Letras para Ensino de PLE (semestral)",4105,4105
2434,"Redação Acadêmica para Graduação",4105,4105
2435,"Redação Acadêmica para Pós-Graduação",4105,4105
2495,"Inglês para negócios (IRI) – módulo 2",4105,4105
2496,"Inglês em Contexto Acadêmico",4105,4105
2497,"Inglês para Graduandos USP",4105,4105
2502,"Inglês para Escrita Acadêmica",4105,4105
2503,"Curso Preparatório para o TOEFL iBT (internet-based test)",4105,4105
2523,"Inglês para Leitura de Textos I e II",4105,4105
2594,"fantasia",4105,4105
2598,"Formação continuada para professores de língua materna e estrangeira – As práticas teatrais e o texto dramático na formação docente: reflexão e ação - Módulo 1",4105,4105
2600,"Formação continuada para professores de língua materna e estrangeira: Ensino de Línguas para Fins Específicos: contextos profissionais e acadêmicos - módulo 2",4105,4105
2664,"1º sem/2017 - Japonês Básico III - Aki",4105,4105
2674,"Inglês para Leitura de Textos - Nível I",4105,4105
2675,"Inglês para Leitura de Textos - Nível II",4105,4105
2676,"Inglês para Graduandos USP - Nível I",4105,4105
2677,"Inglês para escrita acadêmica para alunos de pós-graduação",4105,4105
2694,"Inglês para Leitura de Textos II",4105,4105
2702,"Inglês para Escrita Acadêmica para alunos de graduação - IRI",4105,4105
2706,"Inglês para Graduandos USP - (Matrículas mediante resultado do TESTE DE NÍVEL)",4105,4105
2708,"Clone of Inglês para funcionários: Nível A2-B1 (pré-intermediário) - Módulo 2",4105,4105
2747,"Inglês em Contexto Acadêmico - (Matrículas mediante resultado do TESTE DE NÍVEL)",4105,4105
2753,"Inglês para escrita acadêmica para alunos de graduação (IRI) e alunos de graduação de outras unidades USP",4105,4105
2755,"Inglês para apresentações orais",4105,4105
2757,"Curso Preparatório para o IELTS",4105,4105
2758,"Inglês para funcionários: Nível A2-B1 (pré-intermediário) - Módulo 2",4105,4105
2767,"Curso Preparatório para o TOEFL",4105,4105
2770,"Inglês para funcionários: Nível B1 (intermediário) - Módulo 2",4105,4105
2772,"Inglês para funcionários: Nível B1 (intermediário) - Módulo 1",4105,4105
2778,"Redação em japonês para universitários",4105,4105
2781,"Leitura para N4/N5 do JLPT",4105,4105
2792,"Curso de Francês para Internacionalização - Poli - Módulo 3",4105,4105
2795,"Curso de Francês para Internacionalização - Poli - Módulo 1",4105,4105
2798,"Práticas de Leitura em japonês",4105,4105
2801,"Curso de Francês para Internacionalização - IRI - Módulo 1",4105,4105
2803,"Curso de Francês para Internacionalização - IRI - Módulo 4",4105,4105
2805,"Preparatório para N3 do JLPT - Parte 1",4105,4105
2808,"Japonês III - Aki",4105,4105
2861,"Inglês para Leitura de Textos I",4105,4105
2914,"Japonês Elementar - Sakura",4105,4105
2916,"Preparatório para N3 do JLPT - Parte 2",4105,4105
2918,"Redação em Japonês para Universitários",4105,4105
2922,"Japonês IV - Fuyu",4105,4105
2925,"Práticas de Leitura em Japonês - Curso de Férias",4105,4105
2927,"Japonês Elementar - Sakura - Curso de Férias",4105,4105
2944,"Curso Preparatório para o TOEFL",4105,4105
2945,"Curso Preparatório para o IELTS",4105,4105
2946,"Inglês para apresentações orais",4105,4105
2949,"Inglês para negócios – módulo 1",4105,4105
2950,"Inglês para escrita acadêmica para alunos de pós-graduação",4105,4105
2977,"Inglês para Graduandos USP - (Matrículas mediante resultado do TESTE DE NÍVEL)",4105,4105
2984,"Inglês em Contexto Acadêmico - (Matrículas mediante resultado do TESTE DE NÍVEL)",4105,4105
2985,"Inglês para Leitura de Textos I",4105,4105
2988,"Inglês para Leitura de Textos II",4105,4105
2990,"Inglês para Produção de Abstracts",4105,4105
3114,"Inglês para Leitura de Textos I",4105,4105
3118,"Inglês para Leitura de Textos II",4105,4105
3120,"Inglês em Contexto Acadêmico - (Matrículas mediante resultado do TESTE DE NÍVEL)",4105,4105
3122,"Inglês para Graduandos USP - (Matrículas mediante resultado do TESTE DE NÍVEL)",4105,4105
3126,"Inglês para Produção de Abstracts",4105,4105
3133,"Curso Preparatório para IELTS",4105,4105
3137,"Curso Preparatório para o TOEFL iBT",4105,4105
3144,"Inglês para apresentações orais (IRI)",4105,4105
3150,"Inglês para Escrita Acadêmica para Alunos de Pós-graduação",4105,4105
3153,"Inglês para Escrita Acadêmica para Alunos de Graduação USP",4105,4105
3156,"TED Talks e Compreensão Oral em Inglês",4105,4105
3159,"TED Talks e compreensão oral em inglês",4105,4105
3165,"Inglês para Graduandos USP",4105,4105
3170,"Inglês para Produção de Abstracts",4105,4105
3176,"Inglês em Contexto Acadêmico - (Matrículas mediante resultado do TESTE DE NÍVEL)",4105,4105
3179,"Curso Preparatório para o TOEFL iBT - (Curso de Férias)",4105,4105
3189,"Práticas de Leitura em Japonês",4105,4105
3190,"Preparatório para N3 do JLPT - Parte 1",4105,4105
3192,"Japonês I – Haru",4105,4105
3194,"Japonês V – Shiki",4105,4105
3333,"CURSO INTENSIVO DE FÉRIAS: JAPONÊS ELEMENTAR - SAKURA",4105,4105
3305,"Título do Curso",4105,4105
3277,"Inglês para apresentações orais",4105,4105
3279,"Curso Preparatório para IELTS (IRI)",4105,4105
3281,"Inglês para Graduandos USP",4105,4105
3282,"Preparatório para N3 do JLPT - Parte 2",4105,4105
3283,"Inglês em Contexto Acadêmico - (Matrículas mediante resultado do TESTE DE NÍVEL)",4105,4105
3293,"Preparatório para TOEFL iBT (internet-based test)",4105,4105
3295,"Inglês para Escrita Acadêmica para Alunos de Pós-graduação",4105,4105
3298,"Clone of Japonês II – NATSU",4105,4105
3302,"Inglês para Leitura de Textos II",4105,4105
3306,"Preparatório para TOEFL iBT (internet-based test)",4105,4105
3307,"Curso Preparatório para IELTS (IRI)",4105,4105
3308,"Inglês para apresentações orais",4105,4105
3314,"CURSO PREPARATÓRIO PARA N3 DO JLPT – PARTE 2",4105,4105
3315,"Inglês em Contexto Acadêmico",4105,4105
3318,"Inglês para Leitura de Textos II",4105,4105
3320,"Inglês para Leitura de Textos I",4105,4105
3322,"Japonês II – Natsu",4105,4105
3324,"Curso de Conversação e Produção de Texto em Português para Estrangeiros - Nível B",4105,4105
3326,"Curso de Conversação e Produção de Texto em Português para Estrangeiros - Nível C",4105,4105
3328,"Inglês para Escrita Acadêmica para Alunos de Pós-graduação",4105,4105
3331,"Práticas de Leitura 2: textos de N2/N1 do JLPT",4105,4105
3335,"CURSO INTENSIVO DE FÉRIAS: REDAÇÃO EM JAPONÊS PARA UNIVERSITÁRIOS",4105,4105
3347,"TED Talks e Compreensão Oral em Inglês",4105,4105
3733,"Japonês I – Haru",4105,4105
3726,"Preparatório para IELTS - Curso de Férias",4105,4105
3729,"CURSO INTENSIVO DE FÉRIAS: REDAÇÃO EM JAPONÊS PARA UNIVERSITÁRIOS",4105,4105
3734,"Preparatório para TOEFL iBT (internet-based test) - IRI",4105,4105
3737,"Inglês para Leitura de Textos I",4105,4105
3738,"Inglês para Leitura de Textos II",4105,4105
3740,"Inglês para Graduandos USP",4105,4105
3742,"Inglês em Contexto Acadêmico",4105,4105
3743,"Japonês III – Aki",4105,4105
3749,"TED Talks e Compreensão Oral em Inglês",4105,4105
3753,"Inglês para apresentações orais",4105,4105
3754,"Inglês para Escrita Acadêmica para Alunos de Pós-graduação",4105,4105
3755,"Curso Preparatório para N3 do JLPT - Parte 1",4105,4105
3762,"Curso Preparatório para IELTS",4105,4105
3816,"Leitura e Escrita de comunicações em inglês para funcionários FFLCH-USP",4105,4105
3880,"Japonês IV - Fuyu",4105,4105
3882,"Japonês II – Natsu",4105,4105
3885,"Práticas de Leitura em Japonês",4105,4105
3887,"CURSO PREPARATÓRIO PARA N3 DO JLPT – PARTE 2",4105,4105
3888,"Clone of Inglês para Leitura de Textos I",4105,4105
3889,"Preparatório para IELTS",4105,4105
3893,"TED Talks e Compreensão Oral em Inglês",4105,4105
3900,"Inglês para apresentações orais (IRI)",4105,4105
3902,"Clone of Preparatório para TOEFL iBT (internet-based test)",4105,4105
3903,"CURSO DE FÉRIAS: REDAÇÃO EM JAPONÊS PARA UNIVERSITÁRIOS",4105,4105
3905,"Preparatório para TOEFL iBT (internet-based test) - curso de férias",4105,4105
3906,"Inglês em Contexto Acadêmico",4105,4105
3908,"Inglês para Escrita Acadêmica para Alunos de Pós-graduação",4105,4105
3910,"Inglês para Prática Comunicativa - Nível 1 (antigo Inglês para Graduandos - nível 1)",4105,4105
3911,"Inglês para Prática Comunicativa - Nível 2 (antigo Inglês para Graduandos - Nível 2)",4105,4105
3912,"Inglês para Prática Comunicativa - Nível 3 (antigo Inglês para Graduandos - Nível 3)",4105,4105
3913,"Inglês para Leitura de Textos - Nível 2",4105,4105
3916,"Preparatório para TOEFL iBT (internet-based test) - 2º semestre 2019",4105,4105
3918,"Inglês para Leitura de Textos I",4105,4105
4038,"Curso de Férias: Preparatório para TOEFL",4105,4105
3990,"Curso de Férias: Inglês para apresentações orais",4105,4105
4033,"CURSO INTENSIVO DE FÉRIAS: REDAÇÃO EM JAPONÊS PARA UNIVERSITÁRIOS",4105,4105
4041,"Japonês I – Haru",4105,4105
4042,"Inglês para Prática Comunicativa - Nível 1",4105,4105
4044,"Japonês III – Aki",4105,4105
4046,"Preparatório para N3 do JLPT - Parte 1",4105,4105
4048,"CURSO INTENSIVO DE FÉRIAS: JAPONÊS ELEMENTAR - SAKURA",4105,4105
4049,"Práticas de Leitura em Japonês - Curso de Férias",4105,4105
4050,"Preparatório para IELTS (IRI)",4105,4105
4051,"Preparatório para TOEFL iBT (internet-based test)",4105,4105
4052,"Inglês para Escrita Acadêmica para Alunos de Pós-graduação",4105,4105
4053,"Inglês para Leitura de Textos I",4105,4105
4054,"Inglês para Leitura de Textos - Nível 2",4105,4105
4055,"Inglês em Contexto Acadêmico",4105,4105
4057,"Inglês para Prática Comunicativa - Nível 3",4105,4105
4059,"Inglês para Prática Comunicativa - Nível 2",4105,4105
4061,"Inglês para Compreensão oral de Palestras (Antigo TED Talks e Compreensão Oral em Inglês)",4105,4105
4065,"Inglês para apresentações orais",4105,4105
4066,"Preparatório para IELTS -curso de férias",4105,4105
4067,"Minicurso: Inglês oral para funcionários",4105,4105
